code,name,price,change,change_percent,high,low,volume,amount,total_mv,float_mv,pe,pb,turnover_rate,market
001257,N盛龙股份,27.68,19.86,253.96,30.0,20.8,107670600,2575560000.0,508.19,7.02,57.49,-1.0,78.62,深市A股
688813,N泰金,49.47,23.19,88.24,60.55,47.01,2355405300,1193900000.0,79.15,4.56,38.78,-1.0,78.31,沪市A股
301008,宏昌科技,42.29,7.05,20.01,42.29,37.85,28869100,1158770000.0,55.38,3.7,105.56,42.29,24.92,深市A股
300992,泰福泵业,41.88,6.98,20.0,41.88,32.6,15634500,588930000.0,39.93,4.42,227.34,41.88,20.17,深市A股
301079,邵阳液压,44.76,7.46,20.0,44.76,37.0,18241100,778570000.0,48.76,10.31,762.26,44.76,26.24,深市A股
301255,通力科技,29.76,4.96,20.0,29.76,24.4,8654400,243220000.0,45.33,4.31,87.26,29.76,22.73,深市A股
301048,金鹰重工,13.09,2.18,19.98,13.09,10.81,49130700,612450000.0,69.81,2.55,36.63,13.09,9.21,深市A股
300834,星辉环材,30.2,5.03,19.98,30.2,28.01,11395200,341440000.0,58.5,1.99,60.18,30.2,5.92,深市A股
688288,鸿泉技术,30.6,4.28,16.26,31.58,26.37,1430018900,410470000.0,30.54,4.04,103.8,31.58,14.33,沪市A股
300960,通业科技,27.49,3.5,14.59,27.99,24.08,10437600,278730000.0,39.71,6.13,75.26,28.79,7.98,深市A股
688677,海泰新光,54.69,6.86,14.34,57.4,49.5,1490998100,794230000.0,65.56,4.87,38.2,57.4,12.44,沪市A股
688455,科捷智能,27.17,3.18,13.26,27.78,24.24,861474800,229870000.0,45.65,4.79,143.69,28.79,5.13,沪市A股
301323,新莱福,62.86,6.98,12.49,64.8,55.48,6999600,427720000.0,66.37,3.07,45.7,67.06,10.34,深市A股
300825,阿尔特,9.4,1.04,12.44,9.65,8.38,36788000,338060000.0,46.82,2.22,-35.24,10.03,7.59,深市A股
300411,金盾股份,11.21,1.15,11.43,11.3,10.05,22593700,244590000.0,45.57,4.7,363.64,12.07,7.31,深市A股
301179,泽宇智能,25.35,2.59,11.38,25.9,22.66,34416300,851730000.0,102.52,4.23,46.93,27.31,14.49,深市A股
601908,京运通,5.01,0.46,10.11,5.01,4.4,196819800,964440000.0,120.97,1.37,-5.12,5.01,8.15,沪市A股
000030,富奥股份,5.56,0.51,10.1,5.56,5.07,51120300,276270000.0,95.62,1.17,14.14,5.56,3.06,深市A股
000008,神州高铁,3.27,0.3,10.1,3.27,3.13,161756000,524430000.0,88.83,3.03,-16.29,3.27,5.96,深市A股
002578,闽发铝业,4.69,0.43,10.09,4.69,4.6,79597600,372900000.0,44.02,2.9,211.91,4.69,9.24,深市A股
000720,新能泰山,5.46,0.5,10.08,5.46,4.59,193726700,982550000.0,68.61,2.91,-51.86,5.46,15.42,深市A股
600488,津药药业,5.24,0.48,10.08,5.24,4.97,89779600,466910000.0,57.21,1.89,42.87,5.24,8.22,沪市A股
688758,赛分科技,19.65,1.8,10.08,20.19,18.11,1024102500,199350000.0,81.84,6.05,64.75,21.42,3.43,沪市A股
002542,中化岩土,3.28,0.3,10.07,3.28,2.95,37159100,120710000.0,59.24,11.33,-4.28,3.28,2.11,深市A股
603660,苏州科达,9.74,0.89,10.06,9.74,8.83,35791600,336990000.0,56.08,6.77,-27.57,9.74,6.26,沪市A股
000631,顺发恒能,4.27,0.39,10.05,4.27,4.22,115143600,491620000.0,98.21,1.79,166.52,4.27,5.01,深市A股
605162,新中港,11.61,1.06,10.05,11.61,10.16,32621100,363560000.0,46.51,3.66,31.74,11.61,8.14,沪市A股
600495,晋西车轴,4.93,0.45,10.04,4.93,4.48,71844000,347120000.0,59.56,1.82,258.12,4.93,5.95,沪市A股
000913,钱江摩托,16.67,1.52,10.03,16.67,14.88,33870400,549070000.0,87.78,1.86,12.97,16.67,6.51,深市A股
002565,顺灏股份,17.01,1.55,10.03,17.01,15.5,117276200,1967980000.0,180.3,9.67,397.7,17.01,11.06,深市A股
603826,坤彩科技,27.67,2.52,10.02,27.67,24.61,25673900,696680000.0,181.29,10.1,-195.16,27.67,3.92,沪市A股
000863,三湘印象,5.71,0.52,10.02,5.71,5.2,37908200,212510000.0,67.42,1.5,349.72,5.71,3.26,深市A股
600250,南京商旅,14.05,1.28,10.02,14.05,12.63,61071600,823590000.0,43.95,6.92,96.29,14.05,19.52,沪市A股
002082,万邦德,30.2,2.75,10.02,30.2,27.01,70479300,2008600000.0,184.73,7.44,-92.93,30.2,12.74,深市A股
605299,舒华体育,21.33,1.94,10.01,21.33,19.01,41635200,863130000.0,87.29,6.85,97.85,21.33,10.17,沪市A股
002342,巨力索具,14.4,1.31,10.01,14.4,12.81,176155300,2490060000.0,138.24,5.68,-295.32,14.4,18.45,深市A股
000070,特发信息,17.8,1.62,10.01,17.8,15.45,157552300,2662710000.0,160.26,10.63,-39.81,17.8,17.73,深市A股
000678,襄阳轴承,12.64,1.15,10.01,12.64,11.5,25075700,306940000.0,58.09,7.29,-164.25,12.64,5.46,深市A股
600066,宇通客车,35.86,3.26,10.0,35.86,35.3,33446100,1199270000.0,793.92,5.09,14.29,35.86,1.51,沪市A股
